	dg_d	dg_v	ca3_d	ca3_v	ca2	ca1_d	ca1_i	ca1_v	sst	pv
ENSMUSG00000000827	49.3142	47.913	54.3915	44.3322	61.4123	54.879	67.7337	66.6341	51.0813	41.667
ENSMUSG00000000838	14.6028	38.1219	31.7387	30.157	32.1562	38.3204	41.0045	30.8507	15.0182	23.1611
ENSMUSG00000000861	54.23	24.3709	92.3293	48.3491	81.1128	95.4651	75.6516	70.9	23.6949	1.46963
ENSMUSG00000000869	0.605224	4.12375	2.58989	2.69923	1.5801	2.1518	1.20437	2.85063	1.6105	2.5912
ENSMUSG00000000876	3.45404	1.94525	6.08669	3.455	2.50123	3.15652	3.33009	4.33259	7.11862	2.86647
ENSMUSG00000000881	88.6727	82.0394	91.0793	79.4546	104.443	94.2557	91.9727	85.4114	31.2111	26.7553
ENSMUSG00000000884	0.599682	0.21499	0.307903	1.18196	0.409237	0.562891	0.469193	0.330857	2.01848	1.26705
ENSMUSG00000000889	0.838381	0.0406127	0	0.0198977	0.226899	0	0	0	0	0
ENSMUSG00000000901	0.0238309	0.203615	0.00787306	0.0163261	0.0749962	0	0	0	2.52438	3.17796
ENSMUSG00000000902	21.6858	21.9956	16.6109	21.1097	17.4715	23.4114	26.3646	22.3315	23.854	20.1435
ENSMUSG00000000903	0	0	0	0	0	0	0	0	0.202819	0.727066
ENSMUSG00000000915	1.61656	1.07154	1.3357	2.91149	3.1986	1.67963	2.76675	0.985189	2.52969	2.30108
ENSMUSG00000000916	9.4439	4.74076	0.955848	2.2157	1.21332	2.99027	1.79201	2.01878	2.05917	5.94528
ENSMUSG00000000934	1.97184	3.77224	3.34581	7.61579	5.55862	3.07398	3.90606	7.07868	8.51433	7.28954
ENSMUSG00000000938	0	0	0	0	0	0	0	0.0409734	0	0
ENSMUSG00000000942	0	0	0	0	0	0	0	0.0304363	0.0119459	0.00948253
ENSMUSG00000000948	328.137	173.978	528.003	365.571	681.748	475.428	311.473	310.548	462.956	485.627
ENSMUSG00000000957	0	0	0.293716	0.0638021	13.7248	0.0735834	0.034315	0	0.0402479	0
ENSMUSG00000000958	0.397289	0.277145	0.362454	0.336514	0.392519	0.370469	0.226436	0.421805	0.578649	1.3538
ENSMUSG00000000959	18.0534	13.8415	11.4279	9.49057	11.3709	10.9646	12.3223	12.1365	18.4964	22.8119
ENSMUSG00000000976	6.00006	7.66661	4.84454	4.56085	4.15206	4.25456	4.75788	7.52704	3.26731	5.46399
ENSMUSG00000000982	0	0.150958	0.0257637	0	0	0	0	0	23.4539	0.0185273
ENSMUSG00000000983	0	0.486566	0	0	0	0	0	0	0.236192	0
ENSMUSG00000001014	3.47444	0.969437	1.5776	0.656102	0.234452	0.548048	0.489806	1.03465	0.0931735	0.646402
ENSMUSG00000001016	13.0172	26.3404	31.1721	31.5306	24.4224	26.8074	40.8148	30.5687	33.3491	33.9844
ENSMUSG00000001017	60.2324	74.7585	57.4524	75.0598	64.4556	69.052	67.2825	69.0621	73.9059	92.9942
ENSMUSG00000001018	16.6848	40.338	43.6961	37.0777	32.8968	37.9238	39.9485	37.0327	43.7099	42.916
ENSMUSG00000001020	0.10958	0	0	0.128193	0	0	0	0	0.975749	0
ENSMUSG00000001021	0	0	0	0	0	0	0	0	0.0244672	0
ENSMUSG00000001023	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	0.455391	0	0	0.536306	0	0.0332225	0.0599926	0	7.92698	0.24035
ENSMUSG00000001027	0	0.00345829	0	0.00219173	0	0	0	0	0	0
ENSMUSG00000001029	0.754225	0	0	0	0	0	0	0	0	0.144421
ENSMUSG00000001034	24.1929	6.76468	4.79201	9.71183	12.4781	3.46513	7.28395	4.72532	1.86778	1.54016
ENSMUSG00000001036	61.181	33.6528	36.5305	35.1545	28.2325	38.6646	41.2643	37.4138	7.80828	4.77068
ENSMUSG00000001039	13.6674	10.6205	3.73268	5.42747	5.56218	3.98772	12.7643	6.0086	12.0592	19.5142
ENSMUSG00000001052	92.6271	41.0162	28.4956	22.3154	23.8535	32.1639	27.1073	29.2473	29.2555	38.645
ENSMUSG00000001053	0.0461099	0.0107842	0.331899	0.318183	1.83931	0.921177	1.46567	1.65823	0.880235	3.15714
ENSMUSG00000001054	36.2473	17.1385	21.923	21.26	23.4549	18.9991	21.6225	23.1204	9.93974	6.27016
ENSMUSG00000001056	8.61835	7.72715	11.59	17.4433	20.2991	17.2391	13.6711	23.5549	16.3408	13.0168
ENSMUSG00000001062	8.64338	7.16776	6.97899	5.38198	4.07636	5.14146	3.55794	6.66946	9.29791	5.78647
ENSMUSG00000001065	4.45262	3.73448	1.79845	3.11539	1.67354	1.68562	1.38541	2.26984	2.85453	1.81699
ENSMUSG00000001076	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	11.7891	6.82099	5.64408	4.77764	1.61825	4.5143	1.80386	9.79452	5.97921	4.40124
ENSMUSG00000001089	35.3397	21.3991	71.0302	52.0549	80.0718	50.0405	46.1277	31.4496	20.1444	30.647
ENSMUSG00000001095	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	14.3653	16.1859	18.1026	22.4999	26.1682	28.0849	28.013	32.942	21.2488	23.7727
ENSMUSG00000001100	20.4718	16.7399	28.9744	21.4564	29.6048	25.5657	19.299	19.0954	28.1882	30.9991
ENSMUSG00000001103	5.06451	0.378316	12.3091	1.78907	4.29114	7.7025	2.60181	0.522722	0	0.0581318
ENSMUSG00000001105	108.382	93.0317	100.416	75.647	70.5017	124.25	104.62	66.8593	74.4226	87.2126
ENSMUSG00000001119	0.319405	0.250243	0.635195	3.59109	0.178483	0.0261783	1.17023	5.30026	0	0
ENSMUSG00000001120	18.0395	32.4322	24.9246	26.4643	18.7125	20.8272	23.1831	25.6382	9.65653	27.3104
ENSMUSG00000001123	0	0.0150091	0.481709	1.77318	0.0587908	1.55095	0.624251	0.246438	3.22448	0.102705
ENSMUSG00000001127	74.1072	72.3242	63.7102	74.2906	65.859	100.494	97.9478	82.3655	147.167	107.897
ENSMUSG00000001128	2.33399	6.19099	0.699034	1.07967	1.69427	0.788929	0.838108	1.24236	0.439469	1.10618
ENSMUSG00000001131	0	0.0266941	0.0236915	0	0.0205222	0.358448	0	0.329663	1.38257	0.485418
ENSMUSG00000001134	3.99358	5.93772	2.15783	3.50736	3.36569	2.83634	2.86249	1.86886	4.42812	2.4732
ENSMUSG00000001138	4.85737	3.2541	3.78823	4.92034	3.25522	4.82987	4.23728	4.37908	4.34736	5.44036
ENSMUSG00000001143	9.72841	8.1212	12.352	13.4113	15.947	10.0303	9.87785	9.3238	6.06657	6.14032
ENSMUSG00000001150	6.68915	6.352	5.43137	5.96666	5.01885	6.90011	7.2369	6.73192	3.91944	2.34901
ENSMUSG00000001151	2.33373	1.57304	1.45343	1.73504	2.70359	1.74115	2.25717	2.10012	1.31681	2.25327
ENSMUSG00000001155	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001156	4.2373	6.54533	3.4792	3.52601	3.02488	6.06382	6.33328	3.10866	3.16882	2.08991
ENSMUSG00000001157	3.972	8.68449	10.9867	7.58866	18.6083	7.56016	10.5849	12.1104	4.25365	5.44744
ENSMUSG00000001158	40.1551	36.6203	28.8728	25.1733	24.6682	27.2128	37.3596	34.1302	23.3235	19.9582
ENSMUSG00000001166	0.279136	0.0733071	0.0607674	0.0054349	0.842755	0.251977	0	0.101919	2.22414	3.82986
ENSMUSG00000001168	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	27.4111	33.2984	29.5469	36.2524	26.2473	26.6708	27.7708	29.7418	45.1952	37.0238
ENSMUSG00000001175	2398.74	2095.94	2451.26	1976.64	2083.31	1789.95	1906.51	2010.88	1030.65	1013.72
ENSMUSG00000001211	60.9753	19.9799	37.8576	29.0328	34.6658	21.2103	20.5411	24.1567	17.3294	30.6321
ENSMUSG00000001225	1.12597	0.367836	0	0.121835	0.150211	0	0.0641595	0.286396	0.0205674	2.88131
